ageGroup,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
30,3,45,118806.67900292182,3.7876658431714355e-4,5.6463188675902584e-5,2.828001865797717e-4,5.072985528416812e-4
30,4,5,33115.329081519056,1.509874773610627e-4,6.752365262610936e-5,6.284417531784615e-5,3.6275785630977337e-4
30,5,5,6946.610981361235,7.197754435098965e-4,3.2189336404463766e-4,2.995857335456184e-4,0.001729310281061767
30,6,1,1446.6108391347686,6.912709160938606e-4,6.912709160938607e-4,9.73713296696254e-5,0.004907558323980764
30,7,3,506.76521446222296,0.005919901197606049,0.0034178565500138404,0.001909255225175814,0.018355445478060894
40,0,180,175577.56628492117,0.0010251879201235894,7.641299597026569e-5,8.858445085424229e-4,0.001186450061418425
40,1,8,12099.162594505597,6.612027846979191e-4,2.337704863996637e-4,3.306617441811557e-4,0.0013221642061283173
40,2,123,154513.98955011764,7.960444252208253e-4,7.177690860679076e-5,6.670918525944604e-4,9.499242487531707e-4
40,3,102,150102.3530428952,6.795363159353748e-4,6.728412135868325e-5,5.596668851691807e-4,8.250793765213286e-4
40,4,35,56855.746141179814,6.155930117088023e-4,1.0405421060536717e-4,4.419892595168028e-4,8.573845357215223e-4
40,5,17,12349.959420615956,0.001376522741574492,3.3385580350449605e-4,8.557223967470811e-4,0.0022142868590031644
40,6,14,2923.973688150514,0.004788004781553061,0.0012796481042004974,0.002835679957112339,0.008084477139486575
40,7,3,1073.2250318138954,0.0027953131086866233,0.0016138747757695115,9.015296000076155e-4,0.008667242179878807
50,0,578,171409.67129278305,0.0033720384365752867,1.4025830852494524e-4,0.003108039639365298,0.0036584614538774478
50,1,20,12912.240639269326,0.001548917849251898,3.463485602490016e-4,9.992874557201326e-4,0.002400857220810592
50,2,294,148697.17386032004,0.0019771727489331535,1.1531105638624235e-4,0.0017636021584157386,0.0022166065404657753
50,3,288,169951.10804701204,0.0016946050149925069,9.985555812782773e-5,0.0015097673658093184,0.0019020719495406308
50,4,144,92991.22735234904,0.001548533169202895,1.290444307669079e-4,0.0013151816685592125,0.001823288016741088
50,5,61,24754.904790778925,0.002464158134137611,3.1550311915624625e-4,0.0019172616360100887,0.003167056178452945
50,6,24,6412.666007935184,0.0037425931695650194,7.63953631688325e-4,0.0025085261949281943,0.00558375816891786
50,7,6,2428.728609926191,0.002470428344887138,0.0010085481485136447,0.0011098500379796167,0.005498955713270776
60,0,897,110712.25388878032,0.008102084173095339,2.705207166483224e-4,0.007588840695485167,0.008650038995676311
60,1,39,9388.771592185418,0.004153898049076087,6.651560256931071e-4,0.0030349531895873714,0.005685382252786601
60,2,536,98569.8428774611,0.005437768635447033,2.3487583148896644e-4,0.004996360231802152,0.005918173702616723
