ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
50,2022.75,7,0,0,0,0,0,0
50,2023,0,38,8394.939041095891,0.00452653674004992,7.343012227715071e-4,0.003293672307394659,0.006220878383383942
50,2023,1,0,6.591095890411907,0,0,0,0
50,2023,2,0,22.192465753421175,0,0,0,0
50,2023,3,1,577.0890410958855,0.001732834846596656,0.001732834846596656,2.440843802085663e-4,0.012301961325890187
50,2023,4,9,10109.878767123237,0.00089021839008272775,2.9673946336090923e-4,4.631882140946034e-4,0.0017109433226632639
50,2023,5,12,8168.208219178054,0.001469110443564027,4.2409565503049066e-4,0.00083431338432749295,0.002586900241482522
50,2023,6,0,0,0,0,0,0
50,2023,7,0,0,0,0,0,0
50,2023.25,0,47,8363.963698630138,0.005619345288131479,8.19665752677032e-4,0.004222045714305291,0.0074790856385697005
50,2023.25,1,0,2.5801369863013406,0,0,0,0
50,2023.25,2,0,11.35958904109657,0,0,0,0
50,2023.25,3,0,127.67671232877456,0,0,0,0
50,2023.25,4,3,911.406164383636,0.003291616973019745,0.0019004159454420909,0.0010615948974886191,0.01020609869424116
50,2023.25,5,2,1138.0109589041792,0.0017574523200777018,0.0012427064531389737,4.395235075783873e-4,0.007027243376272993
50,2023.25,6,0,970.7369863013716,0,0,0,0
50,2023.25,7,0,0,0,0,0,0
50,2023.5,0,44,8344.522602739726,0.005272919985327099,7.949225973134677e-4,0.003923967143042214,0.007085606009969291
50,2023.5,1,0,1.0116438356155868,0,0,0,0
50,2023.5,2,0,3.9417808219161543,0,0,0,0
50,2023.5,3,0,13.543835616436581,0,0,0,0
50,2023.5,4,0,78.74246575341135,0,0,0,0
50,2023.5,5,5,722.1534246575036,0.00692373646551819,0.00309638907903856,0.0028818052721887436,0.016634755688241583
50,2023.5,6,13,2272.109589041123,0.005721555008922905,0.0015868738430814889,0.0033222239756635565,0.009853697992650332
50,2023.5,7,0,26.32602739724689,0,0,0,0
50,2023.75,0,45,8304.144520547945,0.005418980834046311,8.078139675797371e-4,0.004045997863574319,0.00725787661534237
50,2023.75,1,0,1.3897260273961365,0,0,0,0
50,2023.75,2,0,3.1938356164368997,0,0,0,0
50,2023.75,3,0,16.989041095891253,0,0,0,0
50,2023.75,4,0,155.85753424657378,0,0,0,0
50,2023.75,5,7,3613.235616438341,0.0019373217645020557,7.322387997693257e-4,9.235744350157135e-4,0.004063793319646726
50,2023.75,6,6,2920.8109589041323,0.0020542240098452512,8.386334402491455e-4,9.228685381884854e-4,0.004572521554270221
50,2023.75,7,5,1732.4958904109474,0.0028860097317829725,0.0012906627887985323,0.001201218172017432,0.0069338379704641665
50,2024,0,51,8137.344262296683,0.0062674010532283615,8.776116873451847e-4,0.004763138821365036,0.008246729191644864
50,2024,1,0,0.6775956284152471,0,0,0,0
50,2024,2,0,2.950819672132866,0,0,0,0
50,2024,3,0,12.174863387978348,0,0,0,0
50,2024,4,2,99.56830601093384,0.020086713133196973,0.014203451068232464,0.005023511882036866,0.08031752566130129
50,2024,5,2,1968.6038251368357,0.0010159484475557097,7.183840366025879e-4,2.540798518896721e-4,0.004062310491817523
50,2024,6,3,1265.8852459016998,0.002369883059868572,0.001368252622563054,7.643221506702626e-4,0.007348139410230153
50,2024,7,2,847.2950819671889,0.002360452742575283,0.0016690921409453663,5.90328657589893e-4,0.009438364677531737
65,2021,0,1233,59425.762328802855,0.020748576908072438,5.908901856045615e-4,0.019622161729166154,0.021939654236480047
65,2021,1,0,28.702054794529204,0,0,0,0
65,2021,2,0,1.5773972602739832,0,0,0,0
65,2021,3,0,0,0,0,0,0
65,2021,4,0,0,0,0,0,0
65,2021,5,0,0,0,0,0,0
65,2021,6,0,0,0,0,0,0
65,2021,7,0,0,0,0,0,0
65,2021.25,0,1514,74883.22123287716,0.020218147337594562,5.196110994702255e-4,0.019224934863501613,0.02126267187207669
65,2021.25,1,94,9223.473287672085,0.010191388544013953,0.0010511614673174461,0.008326011575407799,0.012474688452492545
65,2021.25,2,30,4675.12808219092,0.006416936492987161,0.0011715669557623865,0.004486601082181227,0.009177788085187091
65,2021.25,3,0,0.13424657534255857,0,0,0,0
65,2021.25,4,0,0,0,0,0,0
65,2021.25,5,0,0,0,0,0,0
65,2021.25,6,0,0,0,0,0,0
65,2021.25,7,0,0,0,0,0,0
65,2021.5,0,727,14321.265753424239,0.05076366939327085,0.001882720283923133,0.04720446818430874,0.05459123319020697
65,2021.5,1,148,9690.56438356175,0.015272588276804045,0.0012553990231191285,0.012999990128052606,0.017942471523069787
65,2021.5,2,662,59288.36575342522,0.011165765687541402,4.339698072897341e-4,0.010346775227339839,0.012049582662204092
65,2021.5,3,0,0.35890410958904795,0,0,0,0
65,2021.5,4,0,0,0,0,0,0
65,2021.5,5,0,0,0,0,0,0
65,2021.5,6,0,0,0,0,0,0
65,2021.5,7,0,0,0,0,0,0
65,2021.75,0,354,6816.613698630115,0.05193194387282659,0.0027601516756051276,0.04679429365490058,0.057633668205353324
65,2021.75,1,27,453.12328767122835,0.05958643206965414,0.011467414198488056,0.040863029188993115,0.08688888115391802
65,2021.75,2,231,16561.11506849269,0.013948336150352252,9.177331411992883e-4,0.012260732753761584,0.015868226252915743
65,2021.75,3,1,28.142465753453052,0.035533489096537356,0.035533489096537356,0.00500519116395342,0.25226386086249575
65,2021.75,4,0,0,0,0,0,0
65,2021.75,5,0,0,0,0,0,0
65,2021.75,6,0,0,0,0,0,0
65,2021.75,7,0,0,0,0,0,0
65,2022,0,356,6390.507534246573,0.0557076254260252,0.0029524982425887555,0.05021115670108267,0.06180577653450897
65,2022,1,5,57.1068493150774,0.08755517175204929,0.039155863163850314,0.03644231071171521,0.2103573552504306
65,2022,2,29,667.9712328767771,0.04341504330224611,0.008061971147981942,0.03016985171231035,0.06247514912931486
65,2022,3,353,32887.45753424628,0.010733575243158124,5.71290565970062e-4,0.009670271909182893,0.011913795039323966
65,2022,4,0,0,0,0,0,0
65,2022,5,0,0,0,0,0,0
65,2022,6,0,0,0,0,0,0
65,2022,7,0,0,0,0,0,0
65,2022.25,0,233,6134.877397260274,0.03797956909522815,0.0024881242988312245,0.033402959053060254,0.04318323015538523
65,2022.25,1,2,29.191780821920247,0.06851243547629648,0.04844560772089503,0.017134362969203287,0.2739497128274007
65,2022.25,2,11,161.9643835616473,0.06791616624659427,0.020477494603577565,0.03761157541896454,0.12263792692154175
65,2022.25,3,578,42671.47534246468,0.013545348394007862,5.634122178198394e-4,0.01248487540383633,0.0146958986117453
65,2022.25,4,2,136.5589041093467,0.014645694567075183,0.010356069943565839,0.0036627605616964985,0.05856139535714184
65,2022.25,5,0,0,0,0,0,0
65,2022.25,6,0,0,0,0,0,0
65,2022.25,7,0,0,0,0,0,0
65,2022.5,0,266,5987.063698630136,0.04442912475791127,0.0027241244207960856,0.0393981912096459,0.050102481006050865
65,2022.5,1,2,20.26506849315342,0.0986919931050666,0.06978577757340859,0.024682007291966273,0.39462388078220895
65,2022.5,2,5,57.74794520547994,0.08658316728342275,0.03872116955059381,0.036037741933537516,0.20802204729294158
65,2022.5,3,53,1550.8499999998853,0.0341748073637063,0.004694270812316508,0.026108528946157117,0.04473317745151393
65,2022.5,4,364,43131.158219179226,0.008439374573487325,4.4234341984016344e-4,0.00761542875826423,0.009352466611198144
65,2022.5,5,0,0,0,0,0,0
65,2022.5,6,0,0,0,0,0,0
65,2022.5,7,0,0,0,0,0,0
65,2022.75,0,248,5854.7102739726015,0.042359055938685136,0.002689802741910593,0.03740192259574257,0.047973192164749816
65,2022.75,1,1,10.400684931508067,0.09614751399406184,0.09614751399406184,0.013543186996687627,0.6825826483455693
65,2022.75,2,4,42.85616438355942,0.09333546428001124,0.04666773214000562,0.035029835660736565,0.24868826039425607
65,2022.75,3,25,483.0801369863052,0.05175124805578318,0.010350249611156636,0.034968531213889556,0.0765886236098879
65,2022.75,4,416,24723.956849314578,0.0168257857160729,8.249520163248698e-4,0.015284139665201571,0.018522931036005375
65,2022.75,5,124,13730.876712329456,0.009030741634192657,8.109845393674713e-4,0.007573242400242912,0.010768742125687781
65,2022.75,6,0,0,0,0,0,0
65,2022.75,7,0,0,0,0,0,0
65,2023,0,262,5736.718493150689,0.04567070884039593,0.0028215458150097988,0.04046218942534407,0.051549698017026746
65,2023,1,1,6.245890410959191,0.160105274701166,0.160105274701166,0.02255217617553637,1.1366397099603252
65,2023,2,1,21.701369863013042,0.046080040398940925,0.04608004039894092,0.0064907617265727805,0.32713727796771225
65,2023,3,16,205.44315068494097,0.07788042554184214,0.019470106385460532,0.047711604277246654,0.12712548182897607
65,2023,4,105,2477.0178082192033,0.04238968313089659,0.0041368094859707185,0.03500982008341469,0.05132517766890963
