ageGroup,interval,cohort_definition_id,from0toD,pyrs,rate,SE.rate,rate.lo,rate.hi
50,2022,7,0,0,0,0,0,0
50,2022.25,0,50,8718.095890410958,0.005735197298643509,8.110793802627188e-4,0.0043467841433861105,0.007567085682047422
50,2022.25,1,1,245.54931506849107,0.004072501687577789,0.004072501687577788,5.736461569104983e-4,0.028912021453517053
50,2022.25,2,64,14303.994520547543,0.004474274644615156,5.592843305768945e-4,0.003502035069680805,0.005716428647092545
50,2022.25,3,78,46317.60479452098,0.0016840249046994504,1.9067827245187292e-4,0.001348860829239628,0.0021024703350950237
50,2022.25,4,0,21.195890410949687,0,0,0,0
50,2022.25,5,0,0,0,0,0,0
50,2022.25,6,0,0,0,0,0,0
50,2022.25,7,0,0,0,0,0,0
50,2022.5,0,45,8588.73493150685,0.005239421213818387,7.810467997901583e-4,0.003911932462334669,0.007017384609811711
50,2022.5,1,3,232.40068493150716,0.01290873992425692,0.007452864470168602,0.00416325852883994,0.040025274740393385
50,2022.5,2,47,9141.165068493126,0.005141576554830522,7.499760204561281e-4,0.0038630783739066164,0.006843197810260612
50,2022.5,3,84,44860.56849315069,0.001872468468892121,2.0430305940752878e-4,0.0015119558306434721,0.002318942191256361
50,2022.5,4,6,6739.09383561621,8.90327415874507e-4,3.6347464548387633e-4,3.999832330161184e-4,0.001981790340261173
50,2022.5,5,0,0,0,0,0,0
50,2022.5,6,0,0,0,0,0,0
50,2022.5,7,0,0,0,0,0,0
50,2022.75,0,49,8480.891095890413,0.005777694754710851,8.253849649586931e-4,0.004366687758704487,0.007644640176543567
50,2022.75,1,1,225.1321917808225,0.004441834782000214,0.004441834782000214,6.256698333847242e-4,0.031534037886808225
50,2022.75,2,33,7938.359589041086,0.004157030130703141,7.23646060890011e-4,0.002955325221252526,0.005847376587626382
50,2022.75,3,67,29482.00273972575,0.002272572884260686,2.7763896652933397e-4,0.0017886488597977797,0.0028874239267179737
50,2022.75,4,46,21290.014383561695,0.002160637337827128,3.1856859563054107e-4,0.0016183660156515547,0.0028846093284609752
50,2022.75,5,7,1983.8520547946575,0.003528488922892261,0.0013336434562598693,0.0016821274726436738,0.007401480732852128
50,2022.75,6,0,0,0,0,0,0
50,2022.75,7,0,0,0,0,0,0
50,2023,0,38,8394.939041095891,0.00452653674004992,7.343012227715071e-4,0.003293672307394659,0.006220878383383942
50,2023,1,1,222.55958904109684,0.0044931786777128915,0.004493178677712891,6.329020534587469e-4,0.031898544995271824
50,2023,2,28,7375.740410958906,0.003796229048191214,7.174198558109561e-4,0.0026211234792457975,0.005498159510774937
